Category;Statistic;"POLONIA WARSZAWA";"WIDZEW LODZ"
Summary;Goals;0;0
Summary;Possessions;54%;46%
Summary;"Shots in total";21;19
Summary;Fouls;10;18
Summary;Offsides;1;0
Summary;"Free kicks";18;10
Summary;Corners;6;6
Summary;"Average player game rating";6.95;7.49
Offensive;"Shots in total";21;19
Offensive;"Shots on target";6;3
Offensive;"Shots off target";8;7
Offensive;"Shots blocked";7;9
Offensive;"Shots inside PA";12;15
Offensive;"Shots outside PA";9;4
Offensive;"Successful take ons";20;8
Offensive;"All take ons";29;13
Offensive;"Shot Conversion Rate";0%;0%
Defensive;"Successful tackles";9;7
Defensive;"All tackles";17;27
Defensive;"Aerial duels";11;11
Defensive;Interceptions;53;50
Defensive;Clearances;70;75
Defensive;Recoveries;109;91
Defensive;Blocks;11;6
Defensive;Mistakes;0;0
Defensive;"Won fouls";17;8
Defensive;"Second Ball Won";55%;45%
Distribution;"Successful passes";254;194
Distribution;Passes;353;301
Distribution;"Pass accuracy";72%;64%
Distribution;"Key passes";16;13
Distribution;"Successful passes in final third";80;37
Distribution;"All passes in final third";124;75
Distribution;"Successful passes in middle third";88;65
Distribution;"All passes in middle third";113;96
Distribution;"Successful passes in defensive third";84;90
Distribution;"All passes in defensive third";111;128
Distribution;"Successful long passes";30;41
Distribution;"All long passes";66;88
Distribution;"Successful medium range passes";97;72
Distribution;"All medium range passes";119;102
Distribution;"Successful short passes";125;79
Distribution;"All short passes";163;109
Distribution;"Successful forward passes";110;92
Distribution;"All forward passes";170;160
Distribution;"Successful sideways passes";106;72
Distribution;"All sideways passes";134;106
Distribution;"Successful backward passes";36;28
Distribution;"All backward passes";44;33
Distribution;"Successful crosses";7;6
Distribution;"All crosses";19;15
Distribution;"Field Tilt";62%;38%
