Category;Statistic;"POLONIA WARSZAWA";"STAL RZESZOW"
Summary;Goals;2;3
Summary;Possessions;53%;47%
Summary;"Shots in total";25;14
Summary;Fouls;18;7
Summary;Offsides;2;2
Summary;"Free kicks";9;19
Summary;Corners;8;1
Summary;"Average player game rating";7.01;7.05
Offensive;"Shots in total";25;14
Offensive;"Shots on target";4;8
Offensive;"Shots off target";9;2
Offensive;"Shots blocked";12;4
Offensive;"Shots inside PA";18;8
Offensive;"Shots outside PA";7;6
Offensive;"Successful take ons";6;7
Offensive;"All take ons";10;9
Offensive;"Shot Conversion Rate";8%;14%
Defensive;"Successful tackles";10;11
Defensive;"All tackles";17;17
Defensive;"Aerial duels";22;22
Defensive;Interceptions;98;93
Defensive;Clearances;82;99
Defensive;Recoveries;112;81
Defensive;Blocks;5;12
Defensive;Mistakes;0;0
Defensive;"Won fouls";6;18
Defensive;"Second Ball Won";50%;50%
Distribution;"Successful passes";333;279
Distribution;Passes;449;396
Distribution;"Pass accuracy";74%;70%
Distribution;"Key passes";14;8
Distribution;"Successful passes in final third";91;30
Distribution;"All passes in final third";148;49
Distribution;"Successful passes in middle third";123;82
Distribution;"All passes in middle third";158;106
Distribution;"Successful passes in defensive third";119;167
Distribution;"All passes in defensive third";143;240
Distribution;"Successful long passes";74;61
Distribution;"All long passes";121;120
Distribution;"Successful medium range passes";97;79
Distribution;"All medium range passes";136;108
Distribution;"Successful short passes";162;139
Distribution;"All short passes";192;167
Distribution;"Successful forward passes";208;158
Distribution;"All forward passes";271;243
Distribution;"Successful sideways passes";84;84
Distribution;"All sideways passes";129;107
Distribution;"Successful backward passes";41;37
Distribution;"All backward passes";49;45
Distribution;"Successful crosses";14;2
Distribution;"All crosses";33;7
Distribution;"Field Tilt";75%;25%
